Event_Name,Tweet_Timestamp,Hour,Count,Day
Womens World Cup,10/22/2022 2:00,2,0,10/22/2022
Womens World Cup,10/23/2022 2:00,2,0,10/23/2022
Womens World Cup,10/24/2022 2:00,2,0,10/24/2022
Womens World Cup,10/25/2022 2:00,2,0,10/25/2022
Womens World Cup,10/26/2022 2:00,2,0,10/26/2022
50 Year Anniversary of Pride March,10/28/2022 3:00,3,0,10/28/2022
50 Year Anniversary of Pride March,10/29/2022 3:00,3,0,10/29/2022
50 Year Anniversary of Pride March,10/30/2022 3:00,3,0,10/30/2022
50 Year Anniversary of Pride March,10/31/2022 3:00,3,0,10/31/2022
AZ election campaign,10/22/2022 3:00,3,0,10/22/2022
AZ election campaign,10/23/2022 3:00,3,0,10/23/2022
AZ election campaign,10/24/2022 3:00,3,0,10/24/2022
CES (Consumer Electronics Show),10/21/2022 3:00,3,0,10/21/2022
CES (Consumer Electronics Show),10/22/2022 3:00,3,0,10/22/2022
CES (Consumer Electronics Show),10/23/2022 3:00,3,0,10/23/2022
CES (Consumer Electronics Show),10/24/2022 3:00,3,0,10/24/2022
CES (Consumer Electronics Show),10/25/2022 3:00,3,0,10/25/2022
CES (Consumer Electronics Show),10/26/2022 3:00,3,0,10/26/2022
CES (Consumer Electronics Show),10/27/2022 3:00,3,0,10/27/2022
CES (Consumer Electronics Show),10/28/2022 3:00,3,0,10/28/2022
CES (Consumer Electronics Show),10/29/2022 3:00,3,0,10/29/2022
CES (Consumer Electronics Show),10/30/2022 3:00,3,0,10/30/2022
Christmas'22,10/25/2022 3:00,3,0,10/25/2022
Christmas'22,10/26/2022 3:00,3,0,10/26/2022
Christmas'22,10/27/2022 3:00,3,0,10/27/2022
Christmas'22,10/28/2022 3:00,3,0,10/28/2022
Christmas'22,10/29/2022 3:00,3,0,10/29/2022
Christmas'22,10/30/2022 3:00,3,0,10/30/2022
Christmas'22,10/31/2022 3:00,3,0,10/31/2022
Cisco Live,10/22/2022 3:00,3,0,10/22/2022
Cisco Live,10/23/2022 3:00,3,0,10/23/2022
Cisco Live,10/24/2022 3:00,3,0,10/24/2022
Cisco Live,10/25/2022 3:00,3,0,10/25/2022
Cisco Live,10/26/2022 3:00,3,0,10/26/2022
Cisco Live,10/27/2022 3:00,3,0,10/27/2022
Cisco Live,10/28/2022 3:00,3,0,10/28/2022
Cisco Live,10/29/2022 3:00,3,0,10/29/2022
Cisco Live,10/30/2022 3:00,3,0,10/30/2022
Cisco Live,10/31/2022 3:00,3,0,10/31/2022
Cisco Live,11/1/2022 3:00,3,0,11/1/2022
Commonwealth Games,10/30/2022 3:00,3,0,10/30/2022
Commonwealth Games,10/31/2022 3:00,3,0,10/31/2022
Day of the Dead,10/24/2022 3:00,3,1,10/24/2022
European Elections,10/19/2022 3:00,3,0,10/19/2022
European Elections,10/20/2022 3:00,3,0,10/20/2022
European Elections,10/21/2022 3:00,3,0,10/21/2022
European Elections,10/22/2022 3:00,3,0,10/22/2022
European Elections,10/23/2022 3:00,3,0,10/23/2022
European Elections,10/24/2022 3:00,3,0,10/24/2022
FIFA World Cup,10/19/2022 3:00,3,0,10/19/2022
FIFA World Cup,10/20/2022 3:00,3,0,10/20/2022
FIFA World Cup,10/21/2022 3:00,3,0,10/21/2022
FIFA World Cup,10/22/2022 3:00,3,0,10/22/2022
FIFA World Cup,10/23/2022 3:00,3,0,10/23/2022
FINA World Swimming Championships (25m),10/22/2022 3:00,3,0,10/22/2022
FINA World Swimming Championships (25m),10/23/2022 3:00,3,0,10/23/2022
Football Match,10/29/2022 3:00,3,0,10/29/2022
Football Match,10/30/2022 3:00,3,0,10/30/2022
Football Match,10/31/2022 3:00,3,0,10/31/2022
Global Climate change strike,11/1/2022 3:00,3,0,11/1/2022
Halloween Party,10/21/2022 3:00,3,0,10/21/2022
Halloween Party,10/22/2022 3:00,3,0,10/22/2022
Halloween Party,10/23/2022 3:00,3,0,10/23/2022
Halloween Party,10/24/2022 3:00,3,0,10/24/2022
Halloween Party,10/25/2022 3:00,3,0,10/25/2022
Halloween Party,10/26/2022 3:00,3,0,10/26/2022
Halloween Party,10/27/2022 3:00,3,0,10/27/2022
Halloween Party,10/28/2022 3:00,3,0,10/28/2022
Halloween Party,10/29/2022 3:00,3,0,10/29/2022
ICML 2022 (Tech conference),10/19/2022 3:00,3,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 3:00,3,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 3:00,3,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 3:00,3,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 3:00,3,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 3:00,3,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 3:00,3,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 3:00,3,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 3:00,3,0,10/27/2022
ICML 2022 (Tech conference),10/28/2022 3:00,3,0,10/28/2022
Independence Day,10/19/2022 3:00,3,0,10/19/2022
Independence Day,10/20/2022 3:00,3,0,10/20/2022
Independence Day,10/21/2022 3:00,3,0,10/21/2022
Independence Day,10/22/2022 3:00,3,0,10/22/2022
Independence Day,10/23/2022 3:00,3,0,10/23/2022
Independence Day,10/24/2022 3:00,3,0,10/24/2022
Independence Day,10/25/2022 3:00,3,0,10/25/2022
Independence Day,10/26/2022 3:00,3,0,10/26/2022
Independence Day,10/27/2022 3:00,3,0,10/27/2022
Independence Day,10/28/2022 3:00,3,0,10/28/2022
Independence Day,10/29/2022 3:00,3,0,10/29/2022
Independence Day,10/30/2022 3:00,3,0,10/30/2022
Juneteenth,10/20/2022 3:00,3,0,10/20/2022
Juneteenth,10/21/2022 3:00,3,0,10/21/2022
Juneteenth,10/22/2022 3:00,3,0,10/22/2022
Juneteenth,10/23/2022 3:00,3,0,10/23/2022
Juneteenth,10/24/2022 3:00,3,0,10/24/2022
Juneteenth,10/25/2022 3:00,3,0,10/25/2022
Juneteenth,10/26/2022 3:00,3,0,10/26/2022
Juneteenth,10/27/2022 3:00,3,0,10/27/2022
Juneteenth,10/28/2022 3:00,3,0,10/28/2022
Juneteenth,10/29/2022 3:00,3,0,10/29/2022
Juneteenth,10/30/2022 3:00,3,0,10/30/2022
Mecca Madina,10/26/2022 3:00,3,0,10/26/2022
Mecca Madina,10/27/2022 3:00,3,0,10/27/2022
Mecca Madina,10/28/2022 3:00,3,0,10/28/2022
Memorial Day,10/26/2022 3:00,3,0,10/26/2022
Memorial Day,10/27/2022 3:00,3,0,10/27/2022
Memorial Day,10/28/2022 3:00,3,0,10/28/2022
Memorial Day,10/29/2022 3:00,3,0,10/29/2022
Memorial Day,10/30/2022 3:00,3,0,10/30/2022
Movie,11/1/2022 3:00,3,1,11/1/2022
Olympics 2023,10/22/2022 3:00,3,0,10/22/2022
Olympics 2023,10/23/2022 3:00,3,0,10/23/2022
Olympics 2023,10/24/2022 3:00,3,0,10/24/2022
Olympics 2023,10/25/2022 3:00,3,0,10/25/2022
Olympics 2023,10/26/2022 3:00,3,0,10/26/2022
Olympics 2023,10/27/2022 3:00,3,0,10/27/2022
Olympics 2023,10/28/2022 3:00,3,0,10/28/2022
Olympics 2023,10/29/2022 3:00,3,0,10/29/2022
Olympics 2023,10/30/2022 3:00,3,0,10/30/2022
Olympics 2023,10/31/2022 3:00,3,0,10/31/2022
Olympics 2023,11/1/2022 3:00,3,0,11/1/2022
Skydiving,10/24/2022 3:00,3,0,10/24/2022
Skydiving,10/25/2022 3:00,3,0,10/25/2022
Skydiving,10/26/2022 3:00,3,0,10/26/2022
Skydiving,10/27/2022 3:00,3,0,10/27/2022
Skydiving,10/28/2022 3:00,3,0,10/28/2022
T20WorldCup2022,10/23/2022 3:00,3,0,10/23/2022
T20WorldCup2022,10/24/2022 3:00,3,0,10/24/2022
T20WorldCup2022,10/25/2022 3:00,3,0,10/25/2022
Thanks Giving 2022,10/19/2022 3:00,3,0,10/19/2022
Thanks Giving 2022,10/20/2022 3:00,3,0,10/20/2022
Thanks Giving 2022,10/21/2022 3:00,3,0,10/21/2022
Thanks Giving 2022,10/22/2022 3:00,3,0,10/22/2022
Thanks Giving 2022,10/23/2022 3:00,3,0,10/23/2022
Thanks Giving 2022,10/24/2022 3:00,3,0,10/24/2022
Thanks Giving 2022,10/25/2022 3:00,3,0,10/25/2022
Thanks Giving 2022,10/26/2022 3:00,3,0,10/26/2022
Thanks Giving 2022,10/27/2022 3:00,3,0,10/27/2022
Thanks Giving 2022,10/28/2022 3:00,3,0,10/28/2022
Thanks Giving 2022,10/29/2022 3:00,3,0,10/29/2022
Thanks Giving 2022,10/30/2022 3:00,3,0,10/30/2022
Thanks Giving 2022,10/31/2022 3:00,3,0,10/31/2022
US Open,10/23/2022 3:00,3,0,10/23/2022
US Open,10/24/2022 3:00,3,0,10/24/2022
WAR campaign,10/21/2022 3:00,3,0,10/21/2022
Womens World Cup,10/19/2022 3:00,3,0,10/19/2022
Womens World Cup,10/20/2022 3:00,3,0,10/20/2022
Womens World Cup,10/21/2022 3:00,3,0,10/21/2022
Womens World Cup,10/22/2022 3:00,3,0,10/22/2022
Womens World Cup,10/23/2022 3:00,3,0,10/23/2022
Womens World Cup,10/24/2022 3:00,3,0,10/24/2022
Womens World Cup,10/25/2022 3:00,3,0,10/25/2022
Womens World Cup,10/26/2022 3:00,3,0,10/26/2022
50 Year Anniversary of Pride March,10/28/2022 4:00,4,0,10/28/2022
50 Year Anniversary of Pride March,10/29/2022 4:00,4,0,10/29/2022
50 Year Anniversary of Pride March,10/30/2022 4:00,4,0,10/30/2022
50 Year Anniversary of Pride March,10/31/2022 4:00,4,0,10/31/2022
AZ election campaign,10/22/2022 4:00,4,0,10/22/2022
AZ election campaign,10/23/2022 4:00,4,0,10/23/2022
AZ election campaign,10/24/2022 4:00,4,0,10/24/2022
CES (Consumer Electronics Show),10/21/2022 4:00,4,0,10/21/2022
CES (Consumer Electronics Show),10/22/2022 4:00,4,0,10/22/2022
CES (Consumer Electronics Show),10/23/2022 4:00,4,0,10/23/2022
CES (Consumer Electronics Show),10/24/2022 4:00,4,0,10/24/2022
CES (Consumer Electronics Show),10/25/2022 4:00,4,0,10/25/2022
CES (Consumer Electronics Show),10/26/2022 4:00,4,0,10/26/2022
CES (Consumer Electronics Show),10/27/2022 4:00,4,0,10/27/2022
CES (Consumer Electronics Show),10/28/2022 4:00,4,0,10/28/2022
CES (Consumer Electronics Show),10/29/2022 4:00,4,0,10/29/2022
CES (Consumer Electronics Show),10/30/2022 4:00,4,0,10/30/2022
Christmas'22,10/25/2022 4:00,4,0,10/25/2022
Christmas'22,10/26/2022 4:00,4,0,10/26/2022
Christmas'22,10/27/2022 4:00,4,0,10/27/2022
Christmas'22,10/28/2022 4:00,4,0,10/28/2022
Christmas'22,10/29/2022 4:00,4,0,10/29/2022
Christmas'22,10/30/2022 4:00,4,0,10/30/2022
Christmas'22,10/31/2022 4:00,4,0,10/31/2022
Cisco Live,10/22/2022 4:00,4,0,10/22/2022
Cisco Live,10/23/2022 4:00,4,0,10/23/2022
Cisco Live,10/24/2022 4:00,4,0,10/24/2022
Cisco Live,10/25/2022 4:00,4,0,10/25/2022
Cisco Live,10/26/2022 4:00,4,0,10/26/2022
Cisco Live,10/27/2022 4:00,4,0,10/27/2022
Cisco Live,10/28/2022 4:00,4,0,10/28/2022
Cisco Live,10/29/2022 4:00,4,0,10/29/2022
Cisco Live,10/30/2022 4:00,4,0,10/30/2022
Cisco Live,10/31/2022 4:00,4,0,10/31/2022
Cisco Live,11/1/2022 4:00,4,0,11/1/2022
Commonwealth Games,10/30/2022 4:00,4,0,10/30/2022
Commonwealth Games,10/31/2022 4:00,4,1,10/31/2022
European Elections,10/19/2022 4:00,4,0,10/19/2022
European Elections,10/20/2022 4:00,4,0,10/20/2022
European Elections,10/21/2022 4:00,4,0,10/21/2022
European Elections,10/22/2022 4:00,4,0,10/22/2022
European Elections,10/23/2022 4:00,4,0,10/23/2022
European Elections,10/24/2022 4:00,4,1,10/24/2022
FIFA World Cup,10/18/2022 4:00,4,1,10/18/2022
FIFA World Cup,10/19/2022 4:00,4,0,10/19/2022
FIFA World Cup,10/20/2022 4:00,4,0,10/20/2022
FIFA World Cup,10/21/2022 4:00,4,0,10/21/2022
FIFA World Cup,10/22/2022 4:00,4,0,10/22/2022
FIFA World Cup,10/23/2022 4:00,4,0,10/23/2022
FINA World Swimming Championships (25m),10/22/2022 4:00,4,0,10/22/2022
FINA World Swimming Championships (25m),10/23/2022 4:00,4,0,10/23/2022
Football Match,10/29/2022 4:00,4,0,10/29/2022
Football Match,10/30/2022 4:00,4,0,10/30/2022
Football Match,10/31/2022 4:00,4,0,10/31/2022
Global Climate change strike,11/1/2022 4:00,4,0,11/1/2022
Halloween Party,10/21/2022 4:00,4,0,10/21/2022
Halloween Party,10/22/2022 4:00,4,0,10/22/2022
Halloween Party,10/23/2022 4:00,4,0,10/23/2022
Halloween Party,10/24/2022 4:00,4,0,10/24/2022
Halloween Party,10/25/2022 4:00,4,0,10/25/2022
Halloween Party,10/26/2022 4:00,4,0,10/26/2022
Halloween Party,10/27/2022 4:00,4,0,10/27/2022
Halloween Party,10/28/2022 4:00,4,0,10/28/2022
Halloween Party,10/29/2022 4:00,4,0,10/29/2022
ICML 2022 (Tech conference),10/19/2022 4:00,4,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 4:00,4,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 4:00,4,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 4:00,4,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 4:00,4,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 4:00,4,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 4:00,4,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 4:00,4,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 4:00,4,0,10/27/2022
ICML 2022 (Tech conference),10/28/2022 4:00,4,0,10/28/2022
Independence Day,10/19/2022 4:00,4,0,10/19/2022
Independence Day,10/20/2022 4:00,4,0,10/20/2022
Independence Day,10/21/2022 4:00,4,0,10/21/2022
Independence Day,10/22/2022 4:00,4,0,10/22/2022
Independence Day,10/23/2022 4:00,4,0,10/23/2022
Independence Day,10/24/2022 4:00,4,0,10/24/2022
Independence Day,10/25/2022 4:00,4,0,10/25/2022
Independence Day,10/26/2022 4:00,4,0,10/26/2022
Independence Day,10/27/2022 4:00,4,0,10/27/2022
Independence Day,10/28/2022 4:00,4,0,10/28/2022
Independence Day,10/29/2022 4:00,4,0,10/29/2022
Independence Day,10/30/2022 4:00,4,0,10/30/2022
Juneteenth,10/20/2022 4:00,4,0,10/20/2022
Juneteenth,10/21/2022 4:00,4,0,10/21/2022
Juneteenth,10/22/2022 4:00,4,0,10/22/2022
Juneteenth,10/23/2022 4:00,4,0,10/23/2022
Juneteenth,10/24/2022 4:00,4,0,10/24/2022
Juneteenth,10/25/2022 4:00,4,0,10/25/2022
Juneteenth,10/26/2022 4:00,4,0,10/26/2022
Juneteenth,10/27/2022 4:00,4,0,10/27/2022
Juneteenth,10/28/2022 4:00,4,0,10/28/2022
Juneteenth,10/29/2022 4:00,4,0,10/29/2022
Juneteenth,10/30/2022 4:00,4,0,10/30/2022
Mecca Madina,10/26/2022 4:00,4,0,10/26/2022
Mecca Madina,10/27/2022 4:00,4,0,10/27/2022
Mecca Madina,10/28/2022 4:00,4,0,10/28/2022
Memorial Day,10/26/2022 4:00,4,0,10/26/2022
Memorial Day,10/27/2022 4:00,4,0,10/27/2022
Memorial Day,10/28/2022 4:00,4,0,10/28/2022
Memorial Day,10/29/2022 4:00,4,0,10/29/2022
Memorial Day,10/30/2022 4:00,4,0,10/30/2022
Olympics 2023,10/22/2022 4:00,4,0,10/22/2022
Olympics 2023,10/23/2022 4:00,4,0,10/23/2022
Olympics 2023,10/24/2022 4:00,4,0,10/24/2022
Olympics 2023,10/25/2022 4:00,4,0,10/25/2022
Olympics 2023,10/26/2022 4:00,4,0,10/26/2022
Olympics 2023,10/27/2022 4:00,4,0,10/27/2022
Olympics 2023,10/28/2022 4:00,4,0,10/28/2022
Olympics 2023,10/29/2022 4:00,4,0,10/29/2022
Olympics 2023,10/30/2022 4:00,4,0,10/30/2022
Olympics 2023,10/31/2022 4:00,4,0,10/31/2022
Olympics 2023,11/1/2022 4:00,4,0,11/1/2022
Skydiving,10/24/2022 4:00,4,0,10/24/2022
Skydiving,10/25/2022 4:00,4,0,10/25/2022
Skydiving,10/26/2022 4:00,4,0,10/26/2022
Skydiving,10/27/2022 4:00,4,0,10/27/2022
Skydiving,10/28/2022 4:00,4,0,10/28/2022
Soccer Legion,10/27/2022 4:00,4,1,10/27/2022
T20WorldCup2022,10/23/2022 4:00,4,0,10/23/2022
T20WorldCup2022,10/24/2022 4:00,4,0,10/24/2022
T20WorldCup2022,10/25/2022 4:00,4,0,10/25/2022
Thanks Giving 2022,10/19/2022 4:00,4,0,10/19/2022
Thanks Giving 2022,10/20/2022 4:00,4,0,10/20/2022
Thanks Giving 2022,10/21/2022 4:00,4,0,10/21/2022
Thanks Giving 2022,10/22/2022 4:00,4,0,10/22/2022
Thanks Giving 2022,10/23/2022 4:00,4,0,10/23/2022
Thanks Giving 2022,10/24/2022 4:00,4,0,10/24/2022
Thanks Giving 2022,10/25/2022 4:00,4,0,10/25/2022
Thanks Giving 2022,10/26/2022 4:00,4,0,10/26/2022
Thanks Giving 2022,10/27/2022 4:00,4,0,10/27/2022
Thanks Giving 2022,10/28/2022 4:00,4,0,10/28/2022
Thanks Giving 2022,10/29/2022 4:00,4,0,10/29/2022
Thanks Giving 2022,10/30/2022 4:00,4,0,10/30/2022
Thanks Giving 2022,10/31/2022 4:00,4,0,10/31/2022
Tokyo2020,10/27/2022 4:00,4,1,10/27/2022
US Open,10/23/2022 4:00,4,0,10/23/2022
US Open,10/24/2022 4:00,4,0,10/24/2022
WAR campaign,10/21/2022 4:00,4,0,10/21/2022
Womens World Cup,10/19/2022 4:00,4,0,10/19/2022
Womens World Cup,10/20/2022 4:00,4,0,10/20/2022
Womens World Cup,10/21/2022 4:00,4,0,10/21/2022
Womens World Cup,10/22/2022 4:00,4,0,10/22/2022
Womens World Cup,10/23/2022 4:00,4,0,10/23/2022
Womens World Cup,10/24/2022 4:00,4,0,10/24/2022
Womens World Cup,10/25/2022 4:00,4,0,10/25/2022
Womens World Cup,10/26/2022 4:00,4,0,10/26/2022
50 Year Anniversary of Pride March,10/28/2022 5:00,5,0,10/28/2022
50 Year Anniversary of Pride March,10/29/2022 5:00,5,0,10/29/2022
50 Year Anniversary of Pride March,10/30/2022 5:00,5,0,10/30/2022
50 Year Anniversary of Pride March,10/31/2022 5:00,5,1,10/31/2022
AZ election campaign,10/22/2022 5:00,5,0,10/22/2022
AZ election campaign,10/23/2022 5:00,5,0,10/23/2022
AZ election campaign,10/24/2022 5:00,5,0,10/24/2022
Boxing Day,10/25/2022 5:00,5,1,10/25/2022
CES (Consumer Electronics Show),10/21/2022 5:00,5,0,10/21/2022
CES (Consumer Electronics Show),10/22/2022 5:00,5,0,10/22/2022
CES (Consumer Electronics Show),10/23/2022 5:00,5,0,10/23/2022
CES (Consumer Electronics Show),10/24/2022 5:00,5,0,10/24/2022
CES (Consumer Electronics Show),10/25/2022 5:00,5,0,10/25/2022
CES (Consumer Electronics Show),10/26/2022 5:00,5,0,10/26/2022
CES (Consumer Electronics Show),10/27/2022 5:00,5,0,10/27/2022
CES (Consumer Electronics Show),10/28/2022 5:00,5,0,10/28/2022
CES (Consumer Electronics Show),10/29/2022 5:00,5,0,10/29/2022
CES (Consumer Electronics Show),10/30/2022 5:00,5,0,10/30/2022
Christmas'22,10/25/2022 5:00,5,0,10/25/2022
Christmas'22,10/26/2022 5:00,5,0,10/26/2022
Christmas'22,10/27/2022 5:00,5,0,10/27/2022
Christmas'22,10/28/2022 5:00,5,0,10/28/2022
Christmas'22,10/29/2022 5:00,5,0,10/29/2022
Christmas'22,10/30/2022 5:00,5,0,10/30/2022
Christmas'22,10/31/2022 5:00,5,0,10/31/2022
Cisco Live,10/22/2022 5:00,5,0,10/22/2022
Cisco Live,10/23/2022 5:00,5,0,10/23/2022
Cisco Live,10/24/2022 5:00,5,0,10/24/2022
Cisco Live,10/25/2022 5:00,5,0,10/25/2022
Cisco Live,10/26/2022 5:00,5,0,10/26/2022
Cisco Live,10/27/2022 5:00,5,0,10/27/2022
Cisco Live,10/28/2022 5:00,5,0,10/28/2022
Cisco Live,10/29/2022 5:00,5,0,10/29/2022
Cisco Live,10/30/2022 5:00,5,0,10/30/2022
Cisco Live,10/31/2022 5:00,5,0,10/31/2022
Cisco Live,11/1/2022 5:00,5,0,11/1/2022
Commonwealth Games,10/30/2022 5:00,5,0,10/30/2022
European Elections,10/19/2022 5:00,5,0,10/19/2022
European Elections,10/20/2022 5:00,5,0,10/20/2022
European Elections,10/21/2022 5:00,5,0,10/21/2022
European Elections,10/22/2022 5:00,5,0,10/22/2022
European Elections,10/23/2022 5:00,5,0,10/23/2022
FIFA World Cup,10/18/2022 5:00,5,0,10/18/2022
FIFA World Cup,10/19/2022 5:00,5,0,10/19/2022
FIFA World Cup,10/20/2022 5:00,5,0,10/20/2022
FIFA World Cup,10/21/2022 5:00,5,0,10/21/2022
FIFA World Cup,10/22/2022 5:00,5,0,10/22/2022
FIFA World Cup,10/23/2022 5:00,5,0,10/23/2022
FINA World Swimming Championships (25m),10/22/2022 5:00,5,0,10/22/2022
FINA World Swimming Championships (25m),10/23/2022 5:00,5,0,10/23/2022
Football Match,10/29/2022 5:00,5,0,10/29/2022
Football Match,10/30/2022 5:00,5,0,10/30/2022
Football Match,10/31/2022 5:00,5,0,10/31/2022
Global Climate change strike,11/1/2022 5:00,5,0,11/1/2022
Halloween Party,10/21/2022 5:00,5,0,10/21/2022
Halloween Party,10/22/2022 5:00,5,0,10/22/2022
Halloween Party,10/23/2022 5:00,5,0,10/23/2022
Halloween Party,10/24/2022 5:00,5,0,10/24/2022
Halloween Party,10/25/2022 5:00,5,0,10/25/2022
Halloween Party,10/26/2022 5:00,5,0,10/26/2022
Halloween Party,10/27/2022 5:00,5,0,10/27/2022
Halloween Party,10/28/2022 5:00,5,0,10/28/2022
Halloween Party,10/29/2022 5:00,5,0,10/29/2022
ICML 2022 (Tech conference),10/19/2022 5:00,5,0,10/19/2022
ICML 2022 (Tech conference),10/20/2022 5:00,5,0,10/20/2022
ICML 2022 (Tech conference),10/21/2022 5:00,5,0,10/21/2022
ICML 2022 (Tech conference),10/22/2022 5:00,5,0,10/22/2022
ICML 2022 (Tech conference),10/23/2022 5:00,5,0,10/23/2022
ICML 2022 (Tech conference),10/24/2022 5:00,5,0,10/24/2022
ICML 2022 (Tech conference),10/25/2022 5:00,5,0,10/25/2022
ICML 2022 (Tech conference),10/26/2022 5:00,5,0,10/26/2022
ICML 2022 (Tech conference),10/27/2022 5:00,5,0,10/27/2022
ICML 2022 (Tech conference),10/28/2022 5:00,5,1,10/28/2022
Independence Day,10/19/2022 5:00,5,0,10/19/2022
Independence Day,10/20/2022 5:00,5,0,10/20/2022
Independence Day,10/21/2022 5:00,5,0,10/21/2022
Independence Day,10/22/2022 5:00,5,0,10/22/2022
Independence Day,10/23/2022 5:00,5,0,10/23/2022
Independence Day,10/24/2022 5:00,5,0,10/24/2022
Independence Day,10/25/2022 5:00,5,0,10/25/2022
Independence Day,10/26/2022 5:00,5,0,10/26/2022
Independence Day,10/27/2022 5:00,5,0,10/27/2022
Independence Day,10/28/2022 5:00,5,0,10/28/2022
Independence Day,10/29/2022 5:00,5,0,10/29/2022
Independence Day,10/30/2022 5:00,5,0,10/30/2022
Juneteenth,10/20/2022 5:00,5,0,10/20/2022
Juneteenth,10/21/2022 5:00,5,0,10/21/2022
Juneteenth,10/22/2022 5:00,5,0,10/22/2022
Juneteenth,10/23/2022 5:00,5,0,10/23/2022
Juneteenth,10/24/2022 5:00,5,0,10/24/2022
Juneteenth,10/25/2022 5:00,5,0,10/25/2022
Juneteenth,10/26/2022 5:00,5,0,10/26/2022
Juneteenth,10/27/2022 5:00,5,0,10/27/2022
Juneteenth,10/28/2022 5:00,5,0,10/28/2022
Juneteenth,10/29/2022 5:00,5,0,10/29/2022
Juneteenth,10/30/2022 5:00,5,0,10/30/2022
Kuttiyatam,10/26/2022 5:00,5,1,10/26/2022
Mecca Madina,10/26/2022 5:00,5,0,10/26/2022
Mecca Madina,10/27/2022 5:00,5,0,10/27/2022
Mecca Madina,10/28/2022 5:00,5,0,10/28/2022
Memorial Day,10/26/2022 5:00,5,0,10/26/2022
Memorial Day,10/27/2022 5:00,5,0,10/27/2022
Memorial Day,10/28/2022 5:00,5,0,10/28/2022
Memorial Day,10/29/2022 5:00,5,0,10/29/2022
Memorial Day,10/30/2022 5:00,5,0,10/30/2022
Olympics 2023,10/22/2022 5:00,5,0,10/22/2022
Olympics 2023,10/23/2022 5:00,5,0,10/23/2022
Olympics 2023,10/24/2022 5:00,5,0,10/24/2022
Olympics 2023,10/25/2022 5:00,5,0,10/25/2022
Olympics 2023,10/26/2022 5:00,5,0,10/26/2022
Olympics 2023,10/27/2022 5:00,5,0,10/27/2022
Olympics 2023,10/28/2022 5:00,5,0,10/28/2022
Olympics 2023,10/29/2022 5:00,5,0,10/29/2022
Olympics 2023,10/30/2022 5:00,5,0,10/30/2022
Olympics 2023,10/31/2022 5:00,5,0,10/31/2022
Olympics 2023,11/1/2022 5:00,5,0,11/1/2022
Skydiving,10/24/2022 5:00,5,0,10/24/2022
Skydiving,10/25/2022 5:00,5,0,10/25/2022
Skydiving,10/26/2022 5:00,5,0,10/26/2022
Skydiving,10/27/2022 5:00,5,0,10/27/2022
Skydiving,10/28/2022 5:00,5,0,10/28/2022
T20WorldCup2022,10/23/2022 5:00,5,0,10/23/2022
T20WorldCup2022,10/24/2022 5:00,5,0,10/24/2022
T20WorldCup2022,10/25/2022 5:00,5,0,10/25/2022
Thanks Giving 2022,10/19/2022 5:00,5,0,10/19/2022
Thanks Giving 2022,10/20/2022 5:00,5,0,10/20/2022
Thanks Giving 2022,10/21/2022 5:00,5,0,10/21/2022
Thanks Giving 2022,10/22/2022 5:00,5,0,10/22/2022
Thanks Giving 2022,10/23/2022 5:00,5,0,10/23/2022
Thanks Giving 2022,10/24/2022 5:00,5,0,10/24/2022
Thanks Giving 2022,10/25/2022 5:00,5,0,10/25/2022
Thanks Giving 2022,10/26/2022 5:00,5,0,10/26/2022
Thanks Giving 2022,10/27/2022 5:00,5,0,10/27/2022
Thanks Giving 2022,10/28/2022 5:00,5,0,10/28/2022
Thanks Giving 2022,10/29/2022 5:00,5,0,10/29/2022
Thanks Giving 2022,10/30/2022 5:00,5,0,10/30/2022
Thanks Giving 2022,10/31/2022 5:00,5,0,10/31/2022
US Open,10/23/2022 5:00,5,0,10/23/2022
US Open,10/24/2022 5:00,5,0,10/24/2022
WAR campaign,10/21/2022 5:00,5,0,10/21/2022
Womens World Cup,10/19/2022 5:00,5,0,10/19/2022
Womens World Cup,10/20/2022 5:00,5,0,10/20/2022
Womens World Cup,10/21/2022 5:00,5,0,10/21/2022
Womens World Cup,10/22/2022 5:00,5,0,10/22/2022
Womens World Cup,10/23/2022 5:00,5,0,10/23/2022
Womens World Cup,10/24/2022 5:00,5,0,10/24/2022
Womens World Cup,10/25/2022 5:00,5,0,10/25/2022
Womens World Cup,10/26/2022 5:00,5,0,10/26/2022
50 Year Anniversary of Pride March,10/28/2022 6:00,6,0,10/28/2022
